City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
390,guane,22.2025,-84.0875,295.0,91,100,3.02,CU,1698046970
391,urucara,-2.5364,-57.76,296.06,98,100,0.96,BR,1698046970
392,buka,40.8108,69.1986,291.38,53,99,3.19,UZ,1698046970
393,hilo,19.7297,-155.09,296.62,92,0,2.06,US,1698046971
394,oriximina,-1.7656,-55.8661,297.02,91,13,0.96,BR,1698046971
395,ad dabbah,18.05,30.95,306.76,20,0,5.44,SD,1698046971
396,arroyo,41.6096,-4.7969,283.79,89,75,4.12,ES,1698046972
397,kosh-agach,50.0,88.6667,280.73,46,55,12.09,RU,1698046972
398,businga,3.3333,20.8833,303.43,61,43,0.37,CD,1698046972
399,durres,41.3231,19.4414,293.25,72,63,2.23,AL,1698046973
400,bandon,51.7469,-8.7425,284.92,95,100,3.03,IE,1698046973
401,weno,7.4515,151.8468,301.12,94,75,1.54,FM,1698046973
402,dudinka,69.4058,86.1778,270.72,96,96,2.82,RU,1698046974
403,nouadhibou,20.931,-17.0347,295.14,88,0,3.6,MR,1698046974
404,afaahiti,-17.75,-149.2833,298.08,86,23,6.49,PF,1698046974
405,at taj,24.2049,23.2857,299.1,28,0,4.05,LY,1698046975
406,enewetak,11.3474,162.3373,302.04,73,92,5.6,MH,1698046975
407,midvagur,62.0511,-7.1939,280.61,87,75,6.17,FO,1698046975
408,yaren,-0.5472,166.916,302.12,75,100,3.74,NR,1698046976
409,ribeira brava,32.65,-17.0667,292.5,73,96,3.73,PT,1698046976
410,crane,31.3974,-102.3501,294.25,66,100,7.29,US,1698046976
411,andergrove,-21.0833,149.1833,296.88,72,0,4.7,AU,1698046977
412,saint-canut,45.722,-74.0835,280.55,100,100,1.54,CA,1698046977
413,mhangura,-16.8939,30.1683,304.94,32,4,3.07,ZW,1698046978
414,quiberon,47.4841,-3.1196,287.7,85,100,2.24,FR,1698046978
415,sos'va,59.1766,61.8558,275.18,51,47,5.24,RU,1698046978
416,harper,4.375,-7.7169,299.61,83,21,3.01,LR,1698046979
417,la quiaca,-22.1024,-65.593,284.59,65,32,1.03,AR,1698046863
418,majene,-3.5403,118.9707,303.35,64,63,3.39,ID,1698046979
419,assens,55.2702,9.9008,283.09,79,94,5.54,DK,1698046980
420,bejaia,36.7559,5.0843,298.75,22,33,5.14,DZ,1698046980
421,mitu,1.1983,-70.1733,294.0,99,99,1.02,CO,1698046981
422,rundu,-17.9333,19.7667,307.27,9,0,3.35,NA,1698046931
423,novo aripuana,-5.1206,-60.3797,296.22,96,98,0.79,BR,1698046981
424,marshall,34.3834,-86.3333,287.81,63,0,2.06,US,1698046976
425,retreat,38.8245,-85.8533,279.33,70,5,2.32,US,1698046982
426,fisterra,42.9049,-9.2629,285.94,69,34,3.61,ES,1698046983
427,ormara,25.2088,64.6357,301.19,70,0,5.55,PK,1698046983
428,hammerfest,70.6634,23.6821,273.4,74,75,2.57,NO,1698046983
429,lerwick,60.1545,-1.1494,283.15,77,32,3.55,GB,1698046984
430,murun-kuren,49.6342,100.1625,286.29,30,49,2.1,MN,1698046984
431,machico,32.7,-16.7667,292.5,76,40,8.23,PT,1698046984
432,ozar,20.1,73.9333,304.88,28,100,3.11,IN,1698046985
433,kuta,-8.7233,115.1723,305.12,62,20,2.57,ID,1698046985
434,along,28.1667,94.7667,303.42,27,79,0.58,IN,1698046985
435,mont-dore,-22.2833,166.5833,297.14,82,75,4.24,NC,1698046986
436,waounde,15.2637,-12.8682,302.72,42,100,4.55,SN,1698046986
437,maceio,-9.6658,-35.7353,294.84,94,0,1.03,BR,1698046736
438,griffith,41.5284,-87.4237,280.31,94,0,2.06,US,1698046737
439,happy valley-goose bay,53.3168,-60.3315,274.32,60,100,4.63,CA,1698046987
440,la sierpe,2.8518,-77.6155,297.0,94,95,1.79,CO,1698046987
441,mersing,2.4312,103.8405,304.1,70,40,3.09,MY,1698046988
442,rio pardo de minas,-15.6097,-42.5397,292.21,83,100,3.62,BR,1698046988
443,klaksvik,62.2266,-6.589,280.66,76,35,6.55,FO,1698046989
444,pangoa,-12.1167,-73.0,293.2,85,97,1.54,PE,1698046989
445,san miguel panixtlahuaca,16.2484,-97.3843,291.16,94,59,1.47,MX,1698046989
446,marang,5.2056,103.2059,305.1,68,66,3.4,MY,1698046990
447,rikaze,29.25,88.8833,284.7,15,10,3.12,CN,1698046990
448,mutuali,-14.8706,37.0044,306.67,25,81,3.16,MZ,1698046990
449,grand-lahou,5.1367,-5.0242,299.27,89,97,2.99,CI,1698046991
450,filiatra,37.15,21.5833,296.87,68,8,1.94,GR,1698046991
451,magadan,59.5667,150.8,274.0,92,100,4.52,RU,1698046991
452,young,-32.6833,-57.6333,292.21,97,100,1.34,UY,1698046992
453,olyokminsk,60.3736,120.4264,273.82,83,100,4.99,RU,1698046992
454,vilyuysk,63.7553,121.6247,270.42,99,100,0.97,RU,1698046992
455,zambezi,-13.5432,23.1047,306.51,29,50,1.49,ZM,1698046993
456,farim,12.4839,-15.2217,297.9,91,98,1.74,GW,1698046993
457,aripuana,-9.1667,-60.6333,296.77,61,100,0.8,BR,1698046994
458,port augusta,-32.5,137.7667,302.27,12,90,7.92,AU,1698046994
459,santa marta,11.2408,-74.199,301.98,74,64,2.24,CO,1698046722
460,vorkuta,67.5,64.0,264.94,91,52,2.43,RU,1698046995
461,queenstown,-31.8976,26.8753,292.25,43,77,3.64,ZA,1698046995
462,zouerate,22.7187,-12.4521,294.64,70,22,3.3,MR,1698046996
463,port douglas,-16.4833,145.4667,297.21,66,19,1.43,AU,1698046996
464,kodinsk,58.6881,99.1844,279.13,58,96,5.44,RU,1698046996
465,nguigmi,14.2495,13.1092,303.74,19,5,7.41,NE,1698046997
466,morant bay,17.8815,-76.4093,301.94,83,59,2.98,JM,1698046997
467,nieuw amsterdam,5.8833,-55.0833,298.16,93,100,2.77,SR,1698046997
468,yuktae-dong,40.0247,128.1597,288.14,66,98,1.64,KP,1698046998
469,xinzhou,38.4092,112.7333,294.82,18,2,6.18,CN,1698046998
470,osorno,-40.5667,-73.15,275.51,100,20,0.0,CL,1698046999
471,polyarnyy,69.1989,33.4478,275.69,71,100,8.38,RU,1698046999
472,qulsary,46.9531,54.0198,282.4,38,56,3.09,KZ,1698046999
473,kalaleh,37.3807,55.4916,295.93,53,0,2.06,IR,1698047000
474,santa cruz,-17.8,-63.1667,299.85,54,8,3.6,BO,1698047000
475,rawlins,41.7911,-107.2387,280.09,49,0,0.0,US,1698047000
476,antsiranana,-12.2787,49.2917,302.57,54,40,4.12,MG,1698047001
477,licata,37.1071,13.9461,298.65,54,0,3.8,IT,1698047001
478,dazhou,31.2159,107.5009,294.68,59,81,0.9,CN,1698047001
479,ascencion,31.1,-107.9833,293.19,42,2,3.83,MX,1698047002
480,sparti,37.0733,22.4297,295.9,34,8,0.62,GR,1698047002
481,astoria,46.1879,-123.8313,287.09,93,100,4.63,US,1698047002
482,usogorsk,63.4106,48.6872,273.11,67,100,4.43,RU,1698047003
483,bonthe,7.5264,-12.505,299.96,81,88,1.47,SL,1698047003
